Time (s),Channel 2 (V),Channel 1 (V)
-0.0002368,3.146158722,3.358874175
-0.00023648,3.146870564,3.359744203
-0.00023616,3.148531526,3.360218764
-0.00023584,3.149243367,3.360456044
-0.00023552,3.15137889,3.360851512
-0.0002352,3.151537077,3.360535138
-0.00023488,3.152802573,3.360930605
-0.00023456,3.154859003,3.361246979
-0.00023424,3.156361778,3.360930605
-0.00023392,3.1573109,3.360614231
-0.0002336,3.158576395,3.360693325
-0.00023328,3.159762797,3.361088792
-0.00023296,3.161265572,3.361009699
-0.00023264,3.162926535,3.361088792
-0.00023232,3.163480189,3.360535138
-0.000232,3.164350217,3.359586016
-0.00023168,3.165694806,3.359111456
-0.00023136,3.167672142,3.358874175
-0.00023104,3.168146703,3.358795082
-0.00023072,3.170440413,3.358557801
-0.0002304,3.172022282,3.358083241
-0.00023008,3.173604151,3.357766867
-0.00022976,3.175976955,3.357766867
-0.00022944,3.177558824,3.35760868
-0.00022912,3.178745226,3.35760868
-0.0002288,3.178903413,3.357213213
-0.00022848,3.179377974,3.356817745
-0.00022816,3.179931628,3.356422278
-0.00022784,3.181750777,3.357134119
-0.00022752,3.182225338,3.356738652
-0.0002272,3.183016273,3.356659559
-0.00022688,3.183332646,3.356422278
-0.00022656,3.184519048,3.356184998
-0.00022624,3.185151796,3.356184998
-0.00022592,3.18546817,3.356264091
-0.0002256,3.18546817,3.356184998
-0.00022528,3.18570545,3.355947717
-0.00022496,3.185863637,3.355631344
-0.00022464,3.18594273,3.355156783
-0.00022432,3.186180011,3.355394063
-0.000224,3.18570545,3.355473157
-0.00022368,3.18570545,3.355235876
-0.00022336,3.184993609,3.353733101
-0.00022304,3.184677235,3.354207661
-0.00022272,3.184044487,3.353416727
-0.0002224,3.183174459,3.352863073
-0.00022208,3.182067151,3.352942166
-0.00022176,3.181276217,3.352230325
-0.00022144,3.179773441,3.352388512
-0.00022112,3.178666133,3.352309418
-0.0002208,3.178270665,3.352151232
-0.00022048,3.176293329,3.352546699
-0.00022016,3.174790553,3.352863073
-0.00021984,3.172971404,3.352467605
-0.00021952,3.171626815,3.351518484
-0.0002192,3.170203133,3.350648456
-0.00021888,3.16830489,3.351281204
-0.00021856,3.166169367,3.351360297
-0.00021824,3.165062058,3.351043923
-0.00021792,3.163322002,3.350727549
-0.0002176,3.161740133,3.35096483
-0.00021728,3.160316451,3.350885736
-0.00021696,3.15960461,3.350332082
-0.00021664,3.158180928,3.349699334
-0.00021632,3.156678152,3.350411176
-0.000216,3.154384442,3.349620241
-0.00021568,3.151457984,3.349936615
-0.00021536,3.149876115,3.350173895
-0.00021504,3.148452433,3.349541148
-0.00021472,3.14655419,3.349382961
-0.0002144,3.145367788,3.348750213
-0.00021408,3.144181386,3.348750213
-0.00021376,3.142520424,3.34867112
-0.00021344,3.141017648,3.348750213
-0.00021312,3.139673059,3.348750213
-0.0002128,3.138486657,3.348750213
-0.00021248,3.137062975,3.34867112
-0.00021216,3.135718386,3.361879727
-0.00021184,3.135085639,3.388692408
-0.00021152,3.133582863,3.390827931
-0.0002112,3.132317368,3.396680847
-0.00021088,3.131210059,3.403324697
-0.00021056,3.130023658,3.404827473
-0.00021024,3.130102751,3.401426454
-0.00020992,3.129786377,3.395415352
-0.0002096,3.128125415,3.389008782
-0.00020928,3.128283602,3.380308502
-0.00020896,3.128679069,3.372320063
-0.00020864,3.127492667,3.365043465
-0.00020832,3.128125415,3.357687773
-0.000208,3.127413574,3.350648456
-0.00020768,3.127176293,3.34455826
-0.00020736,3.126543546,3.340366307
-0.00020704,3.132238274,3.337044382
-0.00020672,3.139356685,3.334592485
-0.0002064,3.146396003,3.33356427
-0.00020608,3.153118947,3.331982401
-0.00020576,3.160000077,3.330479625
-0.00020544,3.166564834,3.328739569
-0.00020512,3.173445964,3.328027728
-0.0002048,3.178112478,3.326050391
-0.00020448,3.183728114,3.325180363
-0.00020416,3.18570545,3.325180363
-0.00020384,3.184439955,3.323677588
-0.00020352,3.182067151,3.322332999
-0.0002032,3.180168908,3.321858438
